OBJECTID,SUBCOUNTY_NAME,DISTRICT_NAME,POP,Area,Karamoja,S_Yield_Ha,M_Yield_Ha,Crop_Area_Ha,S_Area_Ha,M_Area_Ha,S_Prod_Tot,M_Prod_Tot,Total_Production,Food_per_Person,Yield_Gap,Risk_Level
263,KACHERI,KOTIDO,17244,1067176155,Y,354.2074107,1137.467019,7023.533691,6434.342449,528.1242294,1328652.2052874998,600723.8929,1929376.0981874997,111.88680690022615,-783.2596082999999,Lower Risk
264,KOTIDO,KOTIDO,52771,597575188,Y,367.8905232,1162.996687,13587.99076,12455.59264,824.7670809,1328652.2052874998,959201.3825,2287853.5877874997,43.354372435381165,-795.1061638000001,Lower Risk
265,KOTIDO TOWN COUNCIL,KOTIDO,27389,23972401,Y,369.3141771,1167.005832,1656.531855,1520.322052,8.561643817,561476.4874,9991.488268,571467.9756679999,20.864871870751028,-797.6916549,High Risk
266,NAKAPERIMORU,KOTIDO,38775,419111591,Y,283.3245689,852.3665784,7087.823334,6761.488901,45.72171184,1328652.2052874998,38971.65908,1367623.8643674997,35.270763749000636,-569.0420095,Lower Risk
267,PANYANGARA,KOTIDO,65704,880955930,Y,373.8369255,1283.859882,10398.24939,10111.19813,172.6119139,1328652.2052874998,221609.5114,1550261.7166874998,23.59463223985602,-910.0229565,High Risk
268,RENGEN,KOTIDO,41273,652744859,Y,271.1858431,1047.180128,13278.52043,12964.49973,171.5857036,1328652.2052874998,179681.139,1508333.3442874998,36.54528006899183,-775.9942848999999,Lower Risk
591,KAABONG  EAST,KAABONG,42221,60801942,Y,160.5885252,650.1235648,1021.31699,1004.647534,15.66040911,161334.8658,10181.201,171516.0668,4.062340228796097,-489.53503960000006,High Risk
592,KAABONG TOWN COUNCIL,KAABONG,38857,13071455,Y,212.210703,1229.213444,175.0805266,156.5038884,18.52618562,33211.80017,22772.63643,55984.4366,1.4407812389016137,-1017.002741,High Risk
593,KAABONG WEST,KAABONG,41454,67612362,Y,208.0405184,1056.416068,967.3367266,910.2541223,56.27535518,189369.7394,59450.18942,248819.92882,6.0023141028610025,-848.3755496,High Risk
594,KALAPATA,KAABONG,99203,223116860,Y,209.8093519,633.4231821,2834.349905,2501.368282,331.2257949,524810.4582,209806.097,734616.5552000001,7.405184875457396,-423.61383019999994,High Risk
595,KAMION,KAABONG,60070,1199409465,Y,259.8982456,714.4757426,997.1610206,411.8070005,549.8633367,107027.9169,392864.0158,499891.9327,8.321823417679374,-454.577497,High Risk
596,KAPEDO,KAABONG,33951,304557831,Y,301.1543278,1030.064093,2365.259806,1624.56438,722.6498686,489244.5938,744375.6816,1233620.2754,36.3353148773232,-728.9097652,Lower Risk
597,KATHILE,KAABONG,56870,228457417,Y,312.2786152,1125.685462,6890.699234,5997.222911,867.8731713,1328652.2052874998,976952.2116,2305604.4168875,40.541663739889216,-813.4068467999999,Lower Risk
598,KAWALAKOL,KAABONG,37691,1742041261,Y,298.4499592,871.612802,3934.432233,2249.77706,1620.876815,671445.8717,1412776.982,2084222.8537,55.29762685256428,-573.1628427999999,Lower Risk
599,LOBALANGIT,KAABONG,22907,302572789,Y,386.5298191,985.1926986,1890.248613,879.0023395,1005.877396,339760.6153,990983.0661,1330743.6814000001,58.09332000698477,-598.6628794999999,Lower Risk
600,LODIKO,KAABONG,31820,397700845,Y,164.6520605,815.2557286,401.7978207,324.202666,75.24439792,53380.63695,61343.42645,114724.0634,3.605407397862979,-650.6036681,High Risk
601,LOLELIA,KAABONG,100919,1069331387,Y,285.2134272,1273.397362,2700.676313,2039.327583,656.5863967,581643.6093,836095.3853,1417738.9945999999,14.048286195860046,-988.1839347999999,High Risk
602,LOYORO,KAABONG,16608,1330019236,Y,284.1830582,1303.403556,1491.771813,1318.309036,154.6822391,374641.0935,201613.3805,576254.474,34.69740329961465,-1019.2204978,High Risk
603,NAPORE (KARENGA),KAABONG,20394,309577387,Y,295.7343498,765.3349255,1494.047587,267.559128,1221.532726,79126.42475,934881.6576,1014008.08235,49.72090234137492,-469.60057570000004,Lower Risk
604,SIDOK,KAABONG,24092,125330583,Y,285.3362943,1396.991494,957.4939458,859.6490275,97.5422428,245289.0679,136265.6835,381554.7514,15.837404590735515,-1111.6551997000001,High Risk
765,ABIM,ABIM,14377,188613057,Y,501.2632494,1183.089648,999.3715888,593.531315,259.4493301,297515.4356,306951.8167,604467.2523,42.04404620574529,-681.8263986,Lower Risk
766,ABIM TOWN COUNCIL,ABIM,11489,115941152,Y,439.7509955,1061.151087,788.4628001,472.6017001,282.6130939,207827.0681,299895.1917,507722.2598,44.19203236138915,-621.4000914999999,Lower Risk
767,ALEREK,ABIM,12573,1255760525,Y,520.4076722,1259.122045,1266.109868,902.6841196,354.4490355,469763.7415,446294.5944,916058.3359000001,72.8591693231528,-738.7143728000001,Lower Risk
768,LOTUKEI,ABIM,18641,191684465,Y,382.8689859,1003.30391,698.1712182,364.988891,321.8473311,139742.9265,322910.6857,462653.6122,24.819141258516172,-620.4349241,High Risk
769,MORULEM,ABIM,16834,250364895,Y,407.5004165,962.9581695,925.0541302,600.6731069,299.1517243,244774.5413,288070.5968,532845.1381,31.65291303908756,-555.4577530000001,High Risk
810,KARITA,AMUDAT,45015,658008801,Y,193.9048415,1286.723173,2513.27183,1358.647499,1100.15237,263448.328,1415591.549,1679039.877,37.29956407864046,-1092.8183315,Lower Risk
811,LOROO,AMUDAT,22541,371970302,Y,200.6962102,1196.08804,1539.401382,879.668004,658.9176121,176546.0347,788123.4753,964669.51,42.79621622820638,-995.3918298000001,Lower Risk
812,AMUDAT,AMUDAT,30181,596393139,Y,239.0478779,1379.045945,1651.99842,676.7832664,972.1742459,161783.6037,1340672.952,1502456.5557000001,49.78153658593155,-1139.9980671,Lower Risk
813,AMUDAT TOWN COUNCIL,AMUDAT,4053,17207110,Y,146.1177968,861.2084912,60.77208552,58.32509019,2.416785505,8522.333678,2081.356199,10603.689877,2.616257063163089,-715.0906944000001,High Risk
925,KATIKEKILE,MOROTO,11772,277451997,Y,311.0062152,546.1402942,145.243518,30.15704817,103.2775622,9379.029413,56404.03821,65783.067623,5.588096128355419,-235.13407899999999,High Risk
926,NADUNGET,MOROTO,42115,596023780,Y,133.6679356,591.2703553,2480.1219,2406.190665,70.50569361,321630.539,41687.92651,363318.46551,8.626818604060311,-457.60241970000004,High Risk
927,TAPAC,MOROTO,21999,622266516,Y,155.8699345,211.9656354,1111.664207,315.979223,793.2370943,49251.66081,168139.0047,217390.66551,9.881843061502796,-56.0957009,High Risk
928,NORTHERN DIVISION,MOROTO,7161,2738777,Y,131.9776979,241.5384268,0.322315707,0.130940756,0.191374951,17.28125956,46.22440465,63.50566420999999,0.008868267589722105,-109.56072889999999,High Risk
929,SOUTHERN DIVISION,MOROTO,3272,2121209,Y,114.7955689,52.36670024999978,0.171390461,0.171390461,0.0,19.67486547,0.0,19.67486547,0.006013100693765281,62.428868650000226,High Risk
978,LOREGAE,NAKAPIRIPIRIT,26644,928683431,Y,384.256293,1114.593607,5759.618906,4622.49187,864.1105686,1328652.2052874998,963132.1158,2291784.3210875,86.01502481187134,-730.337314,Lower Risk
979,NAKAPIRIPIRIT TOWN COUNCIL,NAKAPIRIPIRIT,1418,4673094,Y,482.4387931,1257.802716,29.14576036,1.339919159,27.79576662,646.428982,34961.59076,35608.019742,25.11143846403385,-775.3639228999999,High Risk
980,NAMALU,NAKAPIRIPIRIT,25905,553067364,Y,560.3130703,1325.254872,5793.507623,2197.572106,3293.74946,1231328.374,1937338.32621125,3168666.70021125,122.31872998306312,-764.9418016999999,Lower Risk
981,KAKOMONGOLE,NAKAPIRIPIRIT,15960,312709097,Y,398.9790051,1318.261936,3264.534948,2791.83741,457.3576054,1113884.513,602917.1224,1716801.6354,107.56902477443609,-919.2829309000001,Lower Risk
982,LOLACHAT,NAKAPIRIPIRIT,22801,642401705,Y,334.2843018,1225.930541,5079.779088,4364.693411,655.2122757,1328652.2052874998,803244.7393,2131896.9445875,93.50015107177316,-891.6462392,Lower Risk
983,LORENGEDWAT,NAKAPIRIPIRIT,9929,435714604,Y,188.6996119,795.7332802,2008.068169,1917.576345,80.41702686,361845.9121,63990.50457,425836.41667,42.8881475143519,-607.0336682999999,Lower Risk
984,NABILATUK,NAKAPIRIPIRIT,27534,499776866,Y,259.4541224,1066.204758,3276.653762,3156.538704,87.47454924,818976.9792,93265.78063,912242.7598299999,33.131501410256405,-806.7506356000001,High Risk
1023,IRIIRI,NAPAK,46979,1030623258,Y,229.2991573,873.4522415,5473.443674,1550.94457,3840.698081,355630.2829,1937338.32621125,2292968.60911125,48.80837414826305,-644.1530842,Lower Risk
1024,LOPEEI,NAPAK,18815,790782350,Y,108.1564114,1053.257168,3120.318045,2121.74732,955.2646167,229480.5759,1006139.305,1235619.8809,65.67206382673399,-945.1007566000001,Lower Risk
1025,LORENGECORA,NAPAK,2503,118997955,Y,184.0811969,841.8150105,1031.196285,672.1218865,358.5503345,123725.0013,301833.0535,425558.0548,170.0191988813424,-657.7338136,Lower Risk
1026,LOTOME,NAPAK,17834,125857565,Y,128.5555976,507.9070676,1849.966589,1770.358693,78.03589239,227589.5198,39634.98127,267224.50107,14.983991312661209,-379.35147,High Risk
1027,MATANY,NAPAK,29495,338252511,Y,130.0076868,497.3532824,2990.847377,2664.796115,288.329571,346443.9786,143401.6585,489845.63709999993,16.607751724021018,-367.3455956,High Risk
1028,NAPAK TOWN COUNCIL,NAPAK,8010,150906375,Y,175.828068,725.8139301,792.2492731,386.1580327,401.1734419,67897.42082,291177.2726,359074.69342,44.82830130087391,-549.9858621,Lower Risk
1029,NGOLERIET,NAPAK,20790,158887552,Y,134.0840894,528.6998225,1215.227445,1145.339875,68.12400511,153571.8541,36017.14941,189589.00351,9.119240188071188,-394.61573309999994,High Risk
1295,NYAKWAE,ABIM,16470,769609687,Y,329.7590298,779.2250311,792.8987889,342.8168384,331.1113402,113046.948,258010.2444,371057.1924,22.529277012750455,-449.4660013,High Risk
1313,LOKOPO,NAPAK,23200,1794470536,Y,120.8622322,748.8298623,6471.047334,5830.549392,553.5431231,704693.2144,414509.6206,1119202.835,48.241501508620686,-627.9676301,Lower Risk
1318,RUPA,MOROTO,41493,2069554899,Y,114.2709211,699.3343089,2217.290717,1989.119508,222.8388813,227298.5184,155838.875,383137.3934,9.233783852698046,-585.0633878,High Risk
1320,MORUITA,NAKAPIRIPIRIT,16588,839293722,Y,430.5573751,1248.955812,1161.390229,185.2834449,959.6711616,79775.15368,1198586.875,1278362.02868,77.06547074270557,-818.3984369,Lower Risk
